Week,score,month,trump
7/28/13,1,July-13,
7/21/13,1,July-13,
7/14/13,1,July-13,
7/7/13,1,July-13,
6/30/13,1,June-13,
6/23/13,1,June-13,
6/16/13,1,June-13,
6/9/13,1,June-13,
6/2/13,1,June-13,
5/26/13,1,May-13,
5/19/13,1,May-13,
5/12/13,1,May-13,
5/5/13,1,May-13,
4/28/13,1,April-13,
4/21/13,1,April-13,
4/14/13,1,April-13,
4/7/13,2,April-13,
3/31/13,1,March-13,
3/24/13,1,March-13,
3/17/13,1,March-13,
3/10/13,1,March-13,
3/3/13,1,March-13,
2/24/13,1,February-13,
2/17/13,1,February-13,
2/10/13,1,February-13,
2/3/13,1,February-13,
1/27/13,1,January-13,
1/20/13,1,January-13,
1/13/13,1,January-13,
1/6/13,1,January-13,
12/30/12,1,December-12,
12/23/12,1,December-12,
12/16/12,1,December-12,
12/9/12,1,December-12,
12/2/12,1,December-12,
11/25/12,1,November-12,
11/18/12,1,November-12,
11/11/12,2,November-12,
11/4/12,4,November-12,"Take Twitter to say that ""The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive."""
10/28/12,2,October-12,
10/21/12,15,October-12,Offer to donate $5m to charity if President Obama releases his college records.
10/14/12,1,October-12,
10/7/12,1,October-12,
9/30/12,1,September-12,
9/23/12,1,September-12,
9/16/12,1,September-12,
9/9/12,1,September-12,
9/2/12,1,September-12,
8/26/12,1,August-12,
8/19/12,1,August-12,
8/12/12,1,August-12,
8/5/12,1,August-12,
7/29/12,1,July-12,
7/22/12,1,July-12,
7/15/12,1,July-12,
7/8/12,1,July-12,
7/1/12,1,July-12,
6/24/12,1,June-12,
6/17/12,1,June-12,
6/10/12,1,June-12,
6/3/12,1,June-12,
5/27/12,2,May-12,
5/20/12,1,May-12,
5/13/12,1,May-12,
5/6/12,1,May-12,
4/29/12,1,April-12,
4/22/12,1,April-12,
4/15/12,1,April-12,
4/8/12,1,April-12,
4/1/12,1,April-12,
3/25/12,1,March-12,
3/18/12,1,March-12,
3/11/12,2,March-12,
3/4/12,2,March-12,
2/26/12,1,February-12,
2/19/12,1,February-12,
2/12/12,1,February-12,
2/5/12,1,February-12,
1/29/12,2,January-12,"Urge GOP candidates to be nice to one another in a ""From the Desk of Donald Trump"" YouTube videos"
1/22/12,1,January-12,
1/15/12,1,January-12,
1/8/12,1,January-12,
1/1/12,1,January-12,
12/25/11,1,December-11,
12/18/11,1,December-11,
12/11/11,2,December-11,
12/4/11,2,December-11,"Plan to moderate for the 2012 election, but then cancel it because several high-profile candidates don't want to participate. Call them cowards. "
11/27/11,1,November-11,
11/20/11,1,November-11,
11/13/11,1,November-11,
11/6/11,1,November-11,
10/30/11,1,October-11,
10/23/11,1,October-11,
10/16/11,1,October-11,
10/9/11,1,October-11,
